app_id,app_name,source,idea_1,idea_2,idea_3,idea_4,idea_5,idea_6,idea_7,idea_8,idea_9,idea_10
com.netflix.mediaclient,Netflix,DBGNN,"The ""Skills & Insights"" feature allows users to watch tutorials and behind-the-scenes content about filmmaking techniques, acting, and story development. It provides educational material related to film and TV production.",The app includes an adaptive audio clarity setting that uses AI to enhance dialogue and sound effects. Users can customize sound profiles and optimize audio for headphones to improve listening.,"The ""Travel Mode"" feature recommends movies and shows related to the user’s upcoming travel destinations and local weather. It provides content that is regionally relevant for users to watch before or during their trip.","The feature connects users who have similar interests in genres or shows, allowing them to share recommendations, watch content together online, and communicate with other users locally or globally.","The app includes a review and feedback section where users can write and read detailed reviews, rate specific story elements or performances, and participate in community-based content ratings beyond just star scores.","The ""Friend Recommendations"" feed shows users what their Netflix friends are currently watching or suggesting. This allows users to view and explore content based on their friends' activity.","The feature allows users to find local viewing parties, screenings, or fan meetups based on their location. It helps users connect with other Netflix viewers nearby who share similar interests.",The app sends real-time alerts about extreme weather events in the user's area and recommends content to watch during storms or outages.,"The app includes customizable ""Watch Mods"" that allow users to add thematic overlays, alternate soundtracks, trivia, or augmented reality effects while watching content. These options modify the viewing experience based on user preferences.","The app allows users to browse, customize, and order local food and drinks while watching content. Orders are delivered contactlessly and timed to arrive during snack breaks."
com.netflix.mediaclient,Netflix,UFGC,"The app includes a customizable home page where users can turn off autoplay previews and trailers, and rearrange or remove banners and ""New and Hot"" sections. This allows users to adjust the layout according to their preferences.",The app allows users to display two subtitle languages at the same time. This feature helps viewers who want to see subtitles in multiple languages without changing settings during playback.,"The app includes a ""Scheduled Expiry"" category that shows movies or series in a user's My List or region that will be removed soon. Users can choose to receive push or email notifications about these upcoming removals.",The playback stability mode detects when video freezing occurs and automatically adjusts buffering or pauses both audio and video streams simultaneously to prevent desynchronization and stuck scenes.,"The app includes filtering options that let users search for content by original language, dubbed language, and content type. These filters help users find shows and movies in their preferred languages more easily.",The app includes a brightness control toggle that allows users to switch between the device's native brightness settings and Netflix's in-app brightness slider. This feature supports different devices and user preferences.,The app includes an in-app system where users can write reviews and leave comments on shows and movies. This allows users to provide detailed feedback beyond simple ratings.,"The feature syncs the viewing position and playback speed across multiple devices, allowing users to continue watching from where they left off when switching between phone, TV, and tablets.","The app includes an offline playback diagnostic tool that identifies and helps fix issues such as failed downloads, playback errors, or corrupted files. This tool is designed to support users when watching content without an internet connection.","The ""Request & Vote"" feature allows users to suggest titles or series to add to Netflix's library and vote on other users' suggestions. This helps Netflix identify which titles are most requested by the community."
com.google.android.apps.docs.editors.docs,Google Docs,DBGNN,"The feature analyzes your writing style in Google Docs and provides exercises, prompts, or style suggestions to help improve your writing. It offers interactive guidance during the editing process.","The app includes an audio reader that reads documents aloud with adjustable clarity, volume normalization, and background noise filtering. These settings can be customized to suit different listening needs.","The ""Quick Template Menu"" feature lets users browse, customize, and apply different document templates such as resumes, reports, and newsletters directly within Google Docs. This allows for faster document creation by selecting templates from a menu.","The feature provides a shared feed where users can invite others to review documents, share tips, and suggest templates or add-ons based on their activity. It allows multiple users to collaborate and exchange recommendations within the document environment.","This feature tracks user activity such as document editing, commenting, and sharing, and awards points based on frequency. Users can redeem these points for Google Workspace benefits or discounts on premium subscriptions.","The feature provides daily challenges and awards badges for completing tasks related to productivity, creativity, and collaboration. It allows users to track their progress and share updates with others.","Google Docs provides a free trial mode that lets users access premium features, such as advanced formatting and grammar suggestions, for a limited time. This allows users to try these features before subscribing to a paid Google Workspace plan.",The feature sends notifications to users when colleagues or friends nearby are working on related documents. This helps users identify opportunities for local collaboration within their organization.,"Users can post and view reviews on public documents or templates, allowing for feedback and comments to be shared openly. This feature enables community input on the quality and content of shared files.","The feature helps create forms and surveys by predicting and auto-filling common number and data sequences, checking entries as they are made, and offering suggestions to improve question wording."
com.google.android.apps.docs.editors.docs,Google Docs,COT,Google Docs can provide rewrite suggestions that adjust the text to better match the document’s tone and purpose. These suggestions aim to make the writing clearer or more concise based on the context.,"Google Docs could add “content layers” that let users show or hide draft sections, comments, or research notes without removing them. This feature would help manage different parts of a document more easily.",Google Docs could add a “multi-threaded commenting” feature that allows multiple separate comment threads on the same section of text. This would enable different collaborators or topics to have distinct discussions within the same text block.,"Google Docs allows users to set ""content dependencies"" so that specific sections must be completed or approved before other sections can be edited. This helps manage the order of work within a document.","Google Docs can include a ""style consistency checker"" that identifies inconsistent formatting or tone in a document and offers automated suggestions to correct them.","Google Docs can automatically create a summary that includes key points, action items, and decisions from a document for easy review or sharing.",Google Docs can read text aloud and provide suggestions to improve flow and clarity by analyzing rhythm and intonation. This feature offers real-time feedback while reading.,"Google Docs can display a visual progress bar for each section of a document, showing the amount of content that is drafted, reviewed, or finalized. This feature helps track the completion status of different parts of the document.",Google Docs allows collaborators to add interactive margin notes linked to specific paragraphs. These notes can include mini-tasks or reminders that can be checked off and tracked.,"Google Docs may include ""writing milestones"" that track user progress by recognizing word count goals, collaboration streaks, or style improvements. These milestones provide notifications or badges based on users' writing activity."
com.google.android.apps.docs.editors.docs,Google Docs,ZERO,"The feature enables users to control editing in Google Docs using voice commands to format text, insert images, and navigate menus without using their hands.","The live research sidebar displays relevant articles, data, and citations related to the content of your document as you type. It updates suggestions automatically based on the text in the document.","The feature uses AI to analyze the tone of your writing and provides suggestions to help keep the tone consistent, such as formal, casual, persuasive, or neutral.",The version comparison tool shows changes between document revisions by displaying them side-by-side with color-coded highlights. This helps users identify differences between versions.,This feature allows multiple users to add sticky-note style ideas and vote on them simultaneously without changing the main document text. It supports real-time collaboration during brainstorming sessions.,The feature automatically generates a brief summary or executive summary of a long document with a single click. It condenses the main points into a shorter text.,The feature detects changes between different languages in a document and provides immediate translations and grammar corrections for multiple languages within the same file.,"This feature lets users arrange tools, comments, and document panes in a workspace layout that can be adjusted to fit their workflow and screen size.","The feature provides a bibliography manager that tracks cited sources, suggests related references, and automatically formats bibliographies in various styles.","This feature allows users to edit documents offline, saving changes locally in real time. When an internet connection is available, it automatically syncs the updates to the cloud."
com.google.android.apps.docs.editors.docs,Google Docs,UFGC,The app saves edits locally immediately and uploads them to the cloud when a connection is available. This system helps prevent data loss and sync errors during unstable internet connections.,"The feature allows users on mobile devices to adjust paragraph indentation and spacing, including first-line indents and space before or after paragraphs. These settings are saved and remain consistent when accessed on other devices.","The ""Resume Editing"" mode opens documents directly in an editable state at the last cursor position. This allows users to continue editing from where they left off without additional steps.",The app includes a folder and tagging system that allows users to organize documents into folders and categories. This helps users find and access files more quickly.,"Safe Typing Mode uses AI to identify and stop unexpected cursor movements, unwanted character insertions, and random capitalization while typing on mobile devices. This helps maintain consistent and accurate text input.","This feature allows users to select multiple images at the same time and perform actions such as resizing, moving, or adjusting text wrapping around them within the document.",The app includes a dark mode option for print layout view and full documents on mobile devices. This mode changes the screen to a darker color scheme.,"The feature shows a real-time activity tracker that displays who viewed, edited, or commented on a document along with timestamps. It provides information about collaborators' actions as they occur.",This feature allows users to disable or adjust grammar and spellcheck pop-up notifications in long documents. It helps manage when and how these notifications appear during editing.,"The version history navigator allows users to filter changes by author, date, and type of edit. It also provides a comparison view that highlights specific edits within document versions."
com.microsoft.office.outlook,Microsoft Outlook,COT,"Outlook analyzes a user’s email habits and suggests personalized routines, such as the best times to check email or grouping similar tasks to improve efficiency.","Outlook allows users to create collections of related emails, attachments, and calendar events grouped together for easy review and sharing with others. These collections are displayed visually to help organize and access information quickly.",Outlook detects changes in meeting durations or participant availability and provides updated scheduling suggestions with alternative times or formats.,"Outlook can automatically add tags to emails, such as project names, urgency levels, or team members. These tags help users filter and search emails using this information.","Outlook allows users to add shared annotations such as drawings, highlights, or comments on emails. These annotations appear alongside the message without changing the original text.","Outlook can automatically adjust email notification settings based on factors such as location, time, or calendar status. This feature changes notification modes to help manage interruptions.","When composing an email, Outlook can suggest related documents, templates, or previous email threads based on the message's topic or recipients.","Outlook can create visual dashboards that display email response times, open rates, and collaboration patterns. These dashboards provide users with an overview of their communication activity.",Outlook periodically brings important unanswered emails or overdue tasks back to your attention by displaying them in a prioritized list. This helps ensure that these items are not overlooked.,"Outlook can display live email summaries or related documents alongside video calls, allowing users to view relevant information during virtual meetings."
com.microsoft.office.outlook,Microsoft Outlook,ZERO,"The scheduling assistant reviews participants’ previous meeting patterns and recommends suitable meeting times, durations, and formats (video, call, in-person) based on this information.","The ""Priority Inbox AI"" automatically organizes the inbox by identifying urgent emails and grouping related conversations based on user interactions. This helps users find important messages and related threads more quickly without manual sorting.",The feature allows multiple users to edit the same email simultaneously in real-time. This enables collaborative drafting and editing of emails within Microsoft Outlook.,"The feature rewrites complex email content into simpler, easier-to-understand language with a single click. It helps users communicate more clearly across different language and knowledge levels.",The feature analyzes the tone of an email before it is sent and identifies messages that may have sensitive or negative language. It provides suggestions to rephrase or soften the content.,"The feature displays calendar events and related emails together in a timeline view, showing them in chronological order. This allows users to see a sequence of project activities or conversations in one place.",This feature allows users to send emails that automatically delete after a set time or can only be read once. It provides options to control how long the email content remains accessible.,The feature uses AI to identify unanswered emails and automatically suggests follow-up reminders based on the email's content and urgency. This helps users keep track of important conversations without needing to manually monitor them.,"The feature allows users to add a dashboard widget that shows daily email volume, response times, and activity of key contacts. This provides a quick overview of communication patterns and workload.","This feature allows users to compose, read, and manage emails using voice commands on both mobile and desktop devices. It supports hands-free operation for these tasks."
com.microsoft.office.outlook,Microsoft Outlook,UFGC,"The ""Quick Sync"" mode refreshes and displays new emails immediately when you tap notifications, minimizing wait times and avoiding blank or delayed email loading.","The mobile app includes an AI-powered system for managing folders and labels, allowing users to create subfolders and set automated sorting rules similar to the desktop version. This helps organize the inbox while using the app.","This feature lets users set specific times and ""Do Not Disturb"" profiles within Outlook to manage when they receive email notifications for each account or folder. It helps control the timing of alerts to limit notifications outside of chosen hours.","The feature provides a unified inbox that combines multiple email accounts and synchronizes read status across devices. When an email is marked as read on one device, the change is reflected immediately on other devices to keep read states consistent.",This feature allows users to edit email recipients directly within the app before sending or replying. It also provides a continuous view of the entire email thread during this process.,"This feature lets users compose, save, and schedule emails without an internet connection. Emails are automatically sent when the device reconnects to the internet.","The ""Email Recovery & History"" feature securely stores recent emails and enables users to recover deleted or missing emails without needing to reinstall the app or reset their accounts.","Outlook now supports third-party cloud storage and file managers, such as Google Drive, Dropbox, and FTP. Users can browse files and attach them directly from these services within the app.","The feature provides accessibility options for users with dyslexia or visual impairments, including the ability to disable predictive text overlays, customize font styles, and compose emails using voice commands.","The app offers an option to separate Mail, Calendar, and Contacts into individual views or apps on mobile devices. This allows users to access each feature independently for easier multitasking and navigation."
com.microsoft.office.outlook,Microsoft Outlook,DBGNN,"The ""Skill Builder"" sidebar in Outlook provides daily tips and short tutorials on email etiquette, productivity, and calendar management. It is designed to help users develop their communication and organizational skills gradually.","The ""Collaborative Recommendations"" feature lets users share Outlook plugins, templates, or add-ins with others. This allows users to find and use tools recommended by their colleagues and friends.",The feature provides audio notifications with adjustable sound clarity and volume settings designed for users with hearing difficulties. It helps users hear incoming email or calendar alerts more clearly in noisy environments or when using earbuds.,"The feature adds a ""Quick Order"" option in Outlook’s calendar that allows users to browse food menus and place delivery orders during scheduled meetings or work sessions. Users can complete orders within the app without leaving Outlook.","The feature allows users to access premium Outlook functions like advanced email organization, priority inbox, and focused calendar views for a limited trial period. This lets users try these features before deciding to subscribe or buy.","The ""Professional Matchmaker"" feature identifies and suggests contacts or networking opportunities based on shared interests, industry, or location. It helps users find local professionals for potential collaboration.","The Feedback Hub in Outlook allows users to submit feature requests, report issues, and vote on suggestions. This enables Microsoft to gather user input for future updates.",This feature tracks the use of Outlook’s productivity tools and awards points based on consistent activity. Users can redeem these points for gift cards or Microsoft Store credits.,"The ""Audio Digest"" feature converts selected emails and calendar events into short, narrated summaries that users can listen to. This allows users to access important information in audio format.","The ""One-Tap Contact Entry"" feature uses AI to automatically fill in phone numbers, email addresses, and other contact details based on partial input or scanned business cards. This helps users add contacts more quickly by reducing manual data entry."
com.dropbox.android,Dropbox: Secure Cloud Storage,COT,The smart vault automatically organizes files by project deadlines and collaboration activity. It prioritizes files to help users access important items more easily.,The “time capsule” feature lets users lock files for a specified period during which the files cannot be edited or deleted. This ensures the files remain unchanged and accessible only after the set time has passed.,The feature uses biometric methods such as fingerprint or facial recognition to verify a user's identity before allowing access to or sharing of files. This adds an extra step of security to the file access process.,The collaboration heatmap displays a visual overview of documents based on how often team members access or edit them. It uses color coding to indicate the frequency of activity on each document.,The feature analyzes your files and usage patterns to recommend folder structures and naming conventions that help organize your content. It provides suggestions based on the types of files you have and how you access them.,The snapshot rollback feature allows users to restore an entire folder or project to a previous version with a single action. This helps recover earlier states of files and folders as needed.,"The app automatically downloads important or recently accessed files for offline use, organizing them into prioritized groups. This ensures that selected files are available without an internet connection.","The feature enables temporary, encrypted peer-to-peer file exchanges within a specific group. These exchanges are protected with end-to-end encryption and last only for a limited time.",The app includes a dashboard that notifies users when their files are accessed from unfamiliar IP addresses or devices. This feature helps users monitor access to their stored files.,The feature records the exact time when a document is uploaded or modified in Dropbox using blockchain or cryptographic timestamps. This creates a verifiable record of the document’s history for reference.
com.dropbox.android,Dropbox: Secure Cloud Storage,UFGC,"A customizable file download button is added to the file list interface, allowing users to download files directly with fewer taps on mobile devices.","The device management dashboard shows all linked devices, including older or hidden ones, and allows users to unlink devices and manage device limits.","Users can upload entire folders at once from their mobile devices and choose which folders to sync, enabling easier organization and backup of their content.","The app allows users to create photo albums, upload multiple photos at once from selected phone albums, and organize photos by date, size, or custom tags within Dropbox.",This feature allows selected folders to sync changes made offline with the cloud once a connection is available. It ensures files remain accessible during connectivity interruptions or when the device is in sleep mode.,The app includes a built-in two-step verification system that adds an extra layer of security for user accounts. Users can set up this feature directly within the app.,"The feature provides a real-time status indicator that shows ongoing uploads, downloads, and sync errors. It also offers suggestions and options to retry failed actions.",The app provides an interface for renaming files directly and moving files using drag-and-drop within the app. This functionality is available on mobile devices and supports managing large folders.,The feature allows users to set a preferred third-party application as the default viewer for files within the Dropbox app. This enables files to open directly in the chosen application without additional steps.,The “Quick Share” mode allows users to select multiple files or photos and generate shareable links or send them to social media and other apps without leaving the browsing interface or requiring a premium subscription.
